case_id,y_prob,feature,value,shap_effect
46105,0.1185913160443306,Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction,True,-0.5775898098945618
46105,0.1185913160443306,month_name_December,True,-0.39707669615745544
46105,0.1185913160443306,1st_Road_Number,690,-0.37529775500297546
46105,0.1185913160443306,Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters,False,0.3739721477031708
46105,0.1185913160443306,Year,2009.0,-0.3406282961368561
46105,0.1185913160443306,Junction_Control_Automatic_traffic_signal,True,-0.3312074542045593
46105,0.1185913160443306,day_name_Monday,True,-0.27174314856529236
46105,0.1185913160443306,Road_Type_Single_carriageway,False,-0.1908702403306961
88606,0.11966355890035629,1st_Road_Class,6.0,-0.6545608043670654
88606,0.11966355890035629,Speed_limit,30,-0.600334882736206
88606,0.11966355890035629,1st_Road_Number,4105,-0.3718412220478058
88606,0.11966355890035629,Hour,19.0,-0.29563942551612854
88606,0.11966355890035629,Local_Authority__District_,360,-0.23103708028793335
88606,0.11966355890035629,Junction_Control_Unknown,True,0.17618012428283691
88606,0.11966355890035629,NEW_Ped_Risk_Proxy_1,True,-0.1495492160320282
88606,0.11966355890035629,season_Spring,True,-0.13332206010818481
159247,0.11613469570875168,Pedestrian_Crossing_Physical_Facilities_Pedestrian_phase_at_traffic_signal_junction,True,-0.7635961174964905
159247,0.11613469570875168,Weather_Conditions_Raining_without_high_winds,True,-0.6423395872116089
159247,0.11613469570875168,Junction_Control_Automatic_traffic_signal,True,-0.47487205266952515
159247,0.11613469570875168,Pedestrian_Crossing_Physical_Facilities_No_physical_crossing_within_50_meters,False,0.37510278820991516
159247,0.11613469570875168,Police_Force,97.0,-0.33347952365875244
159247,0.11613469570875168,Year,2009.0,-0.3062148094177246
159247,0.11613469570875168,month_name_January,True,-0.24824382364749908
159247,0.11613469570875168,day_name_Tuesday,True,-0.22647881507873535
385984,0.1173410415649414,Speed_limit,30,-0.572111964225769
385984,0.1173410415649414,2nd_Road_Number,86,-0.36414048075675964
385984,0.1173410415649414,month_name_October,True,-0.3414739668369293
385984,0.1173410415649414,1st_Road_Number,53,-0.3019025921821594
385984,0.1173410415649414,Hour,10.0,-0.2664257884025574
385984,0.1173410415649414,Local_Authority__District_,253,-0.16498099267482758
385984,0.1173410415649414,NEW_Ped_Risk_Proxy_1,True,-0.16204798221588135
385984,0.1173410415649414,Police_Force,21.0,0.10263019800186157
389947,0.11656349897384644,Hour,8.0,-0.8458878397941589
389947,0.11656349897384644,2nd_Road_Number,-1,-0.6649028658866882
389947,0.11656349897384644,Speed_limit,50,0.5271252989768982
389947,0.11656349897384644,month_name_November,True,-0.35401517152786255
389947,0.11656349897384644,day_name_Monday,True,-0.3126435875892639
389947,0.11656349897384644,Junction_Control_Unknown,False,-0.25838425755500793
389947,0.11656349897384644,Local_Authority__District_,294,-0.14091356098651886
389947,0.11656349897384644,NEW_Is_Weekend_1,False,-0.14019252359867096
568886,0.11953839659690857,2nd_Road_Number,291,-0.572786271572113
568886,0.11953839659690857,Speed_limit,30,-0.47643738985061646
568886,0.11953839659690857,month_name_October,True,-0.37521976232528687
568886,0.11953839659690857,Local_Authority__District_,256,-0.3012753129005432
568886,0.11953839659690857,1st_Road_Number,53,-0.21645358204841614
568886,0.11953839659690857,NEW_Ped_Risk_Proxy_1,True,-0.1601266860961914
568886,0.11953839659690857,Junction_Control_Unknown,False,-0.077652208507061
568886,0.11953839659690857,Light_Conditions_Daylight__Street_light_present,True,-0.06216708570718765
665016,0.11572347581386566,Local_Authority__District_,8,-0.9677767157554626
665016,0.11572347581386566,Speed_limit,30,-0.36538681387901306
665016,0.11572347581386566,Year,2013.0,-0.20237131416797638
665016,0.11572347581386566,day_name_Sunday,True,-0.19847485423088074
665016,0.11572347581386566,NEW_Ped_Risk_Proxy_1,True,-0.16291560232639313
665016,0.11572347581386566,NEW_Is_Weekend_1,True,0.1500127762556076
665016,0.11572347581386566,Hour,18.0,-0.12708137929439545
665016,0.11572347581386566,Police_Force,1.0,-0.12150261551141739
692911,0.118082694709301,Weather_Conditions_Snowing_without_high_winds,True,-0.6212587356567383
692911,0.118082694709301,Speed_limit,30,-0.49840831756591797
692911,0.118082694709301,month_name_January,True,-0.381565123796463
692911,0.118082694709301,Hour,16.0,-0.3123941719532013
692911,0.118082694709301,NEW_Ped_Risk_Proxy_1,True,-0.236199751496315
692911,0.118082694709301,1st_Road_Class,6.0,-0.22180427610874176
692911,0.118082694709301,Junction_Control_Unknown,True,0.14537762105464935
692911,0.118082694709301,Local_Authority__District_,200,-0.14362776279449463
757070,0.11663264781236649,Weather_Conditions_Other,True,-0.958047091960907
757070,0.11663264781236649,month_name_November,True,-0.8304200768470764
757070,0.11663264781236649,Speed_limit,70,0.6256518959999084
757070,0.11663264781236649,Local_Authority__District_,541,-0.4423792064189911
757070,0.11663264781236649,day_name_Thursday,True,-0.3442974090576172
757070,0.11663264781236649,1st_Road_Class,3.0,0.30820056796073914
757070,0.11663264781236649,1st_Road_Number,28,-0.24638871848583221
757070,0.11663264781236649,Weather_Conditions_Fine_without_high_winds,False,-0.2170141041278839
897620,0.11796433478593826,Speed_limit,30,-0.5234942436218262
897620,0.11796433478593826,Local_Authority__District_,511,-0.3368051052093506
897620,0.11796433478593826,month_name_October,True,-0.2837188243865967
897620,0.11796433478593826,Police_Force,45.0,-0.21734561026096344
897620,0.11796433478593826,Year,2014.0,-0.19138342142105103
897620,0.11796433478593826,1st_Road_Number,93,-0.18061858415603638
